sitename,Month,Day,Year,pupcount,comments
Afognak/Tonki Cape,6,24,2004,0,SWFSC count from MF non-pup aerial survey photo
Aghiyuk,7,8,2015,0,Otter aerial image count.
Aghiyuk,7,8,2015,0,Otter aerial image count.
Aghiyuk,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Aiugnak Columns,7,8,2013,0,NA
Aiugnak Columns,6,26,2004,0,SWFSC count from MF non-pup aerial survey photo
Aiugnak Columns,7,8,2013,0,NA
Cape Douglas,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Gull,6,28,2013,0,NA
Cape Gull,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Gull,6,28,2013,0,NA
Cape Gull,7,3,2015,0,Otter aerial image count.
Cape Gull,7,3,2015,0,Otter aerial image count.
Cape Nukshak,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Cape Ugyak,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Chirikof,6,28,1994,325,"""Strick et al, 1997"""
Chirikof,99,99,1984,1913,"""1912 in Calkins 1985, 1913 in Calkins & Pitcher?"""
Chirikof,6,27,1998,184,checked to field book
Chirikof,6,30,2011,184,2 dead pups
Chirikof,6,12,2010,82,alittle early to use for annual pup production at this rookery
Chirikof,6,29,2000,187,Loughlin field book
Chirikof,6,30,2011,187,NA
Chirikof,7,8,2013,195,NA
Chirikof,6,28,1991,656,"""Merrick et al, 1992"""
Chirikof,7,8,2013,196,NA
Chirikof,7,14,2009,218,Logs for checkcount
Chirikof,99,99,1986,1476,"""Merrick et al, 1987"""
Chirikof,6,12,2010,83,alittle early to use for annual pup production at this rookery
Chirikof,7,7,1993,344,NA
Chirikof,7,14,2009,214,Logs for checkcount
Chirikof,7,8,2015,253,Otter aerial image count.
Chirikof,6,28,1989,709,checked to loughlin field book
Chirikof,7,1,2002,225,fadely field book
Chirikof,6,23,2005,123,NA
Chirikof,6,26,1990,607,"""checked to field book,Merrick et al, 1991"""
Chirikof,7,8,2015,247,Otter aerial image count.
Chirikof,99,99,1979,1649,"""Calkins & Pitcher, 1982"""
Chirikof,6,30,1978,1573,"""Calkins et al, 1979 Annual Report"""
Chirikof,7,1,2004,189,"Fadely field notes. Kac 187, tz 190, jwt 189. 6 dead."
Chowiet,6,12,2004,262,SWFSC count from MF non-pup aerial survey photo
Chowiet,7,1,2001,278,"June/July 2001 data book (TRL), 7 dead"
Chowiet,6,27,1989,820,"""Calkins et al, 1994"""
Chowiet,7,8,2013,612,NA
Chowiet,6,28,2003,368,"field notes, jt - 237, js - 234 + kc - 75 + trl 57 = 368; 1 dead(likely low)"
Chowiet,7,1,1986,1731,checked in loughlin field book & Merrick et 1987
Chowiet,7,8,2013,613,NA
Chowiet,6,23,2005,432,NA
Chowiet,6,30,2011,455,NA
Chowiet,6,12,2010,327,alittle early to use for annual pup production at this rookery
Chowiet,6,12,2010,315,alittle early to use for annual pup production at this rookery
Chowiet,6,28,1998,234,checked to field book
Chowiet,6,30,2011,451,6 dead pups
Chowiet,6,28,2009,358,Logs for checkcount
Chowiet,7,8,2015,541,Otter aerial image count.
Chowiet,6,27,1990,343,"""344 in Merrick et al, 1991"""
Chowiet,6,29,1978,4670,"""Calkins et al, 1979 Annual Report"""
Chowiet,99,99,1984,3207,Calkins 1985
Chowiet,7,4,1992,636,"""635 in Sease et al, 1993"""
Chowiet,6,28,1994,625,"""Strick et al, 1997"""
Chowiet,6,28,2005,309,"Gelatt fn - lots of parts and counters, consult field book for details"
Chowiet,99,99,1979,5485,"""Calkins & Pitcher, 1982"""
Chowiet,6,28,2009,363,Logs for checkcount
Chowiet,7,8,2015,542,Otter aerial image count.
East Chugach,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Elizabeth/Cape Elizabeth,6,26,2004,0,SWFSC count from MF non-pup aerial survey photo
Flat,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Gore Point,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Kilokak Rocks,6,26,2004,0,SWFSC count from MF non-pup aerial survey photo
Kilokak Rocks,6,30,2011,1,NA
Kilokak Rocks,7,8,2015,0,Otter aerial image count.
Kilokak Rocks,6,30,2011,3,NA
Kilokak Rocks,7,8,2015,0,Otter aerial image count.
Kilokak Rocks,7,8,2013,0,NA
Kilokak Rocks,7,8,2013,0,NA
Kodiak/Cape Alitak,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Cape Barnabas,6,27,2009,0,Logs for checkcount
Kodiak/Cape Barnabas,6,26,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Cape Barnabas,7,8,2013,0,NA
Kodiak/Cape Barnabas,6,27,2009,0,Logs for checkcount
Kodiak/Cape Chiniak,7,2,2015,2,Otter aerial image count.
Kodiak/Cape Chiniak,6,25,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Cape Chiniak,6,27,2009,0,Logs for checkcount
Kodiak/Cape Chiniak,7,2,2015,2,Otter aerial image count.
Kodiak/Cape Chiniak,7,8,2013,0,NA
Kodiak/Cape Chiniak,6,28,2011,0,NA
Kodiak/Cape Chiniak,6,28,2011,1,NA
Kodiak/Cape Chiniak,6,27,2009,0,Logs for checkcount
Kodiak/Cape Ikolik,7,2,2015,0,Otter aerial image count.
Kodiak/Cape Ikolik,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Cape Ikolik,7,8,2013,0,NA
Kodiak/Cape Ikolik,7,8,2013,0,NA
Kodiak/Cape Ikolik,7,2,2015,0,Otter aerial image count.
Kodiak/Cape Kuliuk,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Cape Paramanof,6,24,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Cape Ugat,6,27,2009,1,Logs for checkcount
Kodiak/Cape Ugat,7,2,2015,1,Otter aerial image count.
Kodiak/Cape Ugat,6,27,2009,1,Logs for checkcount
Kodiak/Cape Ugat,6,30,2011,0,NA
Kodiak/Cape Ugat,6,24,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Cape Ugat,6,10,2010,4,NA
Kodiak/Cape Ugat,6,30,2011,0,NA
Kodiak/Cape Ugat,6,10,2010,3,NA
Kodiak/Cape Ugat,6,28,2013,0,NA
Kodiak/Cape Ugat,7,2,2015,1,Otter aerial image count.
Kodiak/Cape Ugat,6,28,2013,0,NA
Kodiak/Gull Point,7,8,2013,0,NA
Kodiak/Gull Point,7,2,2015,0,Otter aerial image count.
Kodiak/Gull Point,6,26,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Gull Point,6,27,2009,0,Logs for checkcount
Kodiak/Gull Point,7,2,2015,0,Otter aerial image count.
Kodiak/Gull Point,6,27,2009,0,Logs for checkcount
Kodiak/Malina Point,6,24,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Steep Cape,7,2,2015,0,Otter aerial image count.
Kodiak/Steep Cape,7,2,2015,0,Otter aerial image count.
Kodiak/Steep Cape,6,28,2013,0,NA
Kodiak/Steep Cape,6,28,2013,0,NA
Kodiak/Steep Cape,6,24,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Sundstrom,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Kodiak/Tombstone Rocks,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Latax Rocks,6,28,2011,18,NA
Latax Rocks,6,28,2013,15,NA
Latax Rocks,7,2,2015,17,Otter aerial image count.
Latax Rocks,7,1,2003,10,"towell brand resight form, PARTIAL COUNT OF LIVE PUPS"
Latax Rocks,6,30,2005,1,Gelatt field notes
Latax Rocks,7,2,2015,16,Otter aerial image count.
Latax Rocks,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Latax Rocks,6,28,2013,15,NA
Latax Rocks,6,10,2010,9,NA
Latax Rocks,6,10,2010,9,NA
Latax Rocks,6,27,2009,12,Logs for checkcount
Latax Rocks,6,27,2009,13,Logs for checkcount
Latax Rocks,6,28,2011,18,NA
Long Island,6,24,2004,0,SWFSC count from MF non-pup aerial survey photo
Long Island,6,27,2009,0,Logs for checkcount
Long Island,6,28,2013,0,NA
Long Island,6,28,2013,0,NA
Long Island,7,2,2015,0,Otter aerial image count.
Long Island,6,27,2009,0,Logs for checkcount
Long Island,7,2,2015,0,Otter aerial image count.
Marmot,7,3,2015,620,Otter aerial image count.
Marmot,7,3,2015,627,Otter aerial image count.
Marmot,7,10,1996,632,checked to field book
Marmot,7,4,1978,6140,"""Calkins et al, 1979 Annual Report"""
Marmot,7,99,1997,762,"""Pitcher, 1998 contract report, cnt from perphery"""
Marmot,6,26,2004,494,SWFSC count from MF non-pup aerial survey photo
Marmot,7,3,1991,1611,"""Merrick et al, 1992"""
Marmot,6,28,2013,561,NA
Marmot,7,1,1998,642,"""Pitcher, 1998 contract report"""
Marmot,6,12,2010,273,alittle early to use for annual pup production at this rookery
Marmot,6,12,2010,278,alittle early to use for annual pup production at this rookery
Marmot,7,8,1986,4381,"""4286 in Merrick et al, 1987"""
Marmot,6,28,2011,527,4 dead pups
Marmot,7,9,1993,986,NA
Marmot,7,15,2009,505,Logs for checkcount
Marmot,7,15,2009,513,Logs for checkcount
Marmot,7,10,1984,5751,"""Lewis thesis, 1987 & Calkins 1985"""
Marmot,6,27,1994,804,"""Strick et al, 1997"""
Marmot,7,2,1997,759,medium-format photo
Marmot,7,7,1979,6741,"""6658 in Aumiller & Orth, 1979 (ok calk-pitch 1982)"""
Marmot,6,28,2013,553,NA
Marmot,7,2,1987,2910,checked to loughlin field book
Marmot,7,2,1988,3136,checked in loughlin field book
Marmot,6,29,1989,2199,"""2119 in loughlin field book (this in Loughlin, 90)"""
Marmot,6,23,2005,433,NA
Marmot,6,28,2011,522,NA
Nagahut Rocks,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Nagahut Rocks,6,30,2015,0,Otter aerial image count.
Nagahut Rocks,6,30,2015,0,Otter aerial image count.
Nagai Rocks,6,23,2005,31,NA
Nagai Rocks,6,28,2009,18,Logs for checkcount
Nagai Rocks,7,1,2002,19,fadely trip report
Nagai Rocks,6,28,2009,18,Logs for checkcount
Nagai Rocks,6,30,2011,7,NA
Nagai Rocks,6,30,2011,8,NA
Nagai Rocks,7,1,2004,22,JWT resight book. Min 22 pups from skiff.
Nagai Rocks,7,8,2015,5,Otter aerial image count.
Nagai Rocks,7,8,2013,7,NA
Nagai Rocks,7,8,2013,7,NA
Nagai Rocks,6,26,2004,23,SWFSC count from MF non-pup aerial survey photo
Nagai Rocks,7,8,2015,5,Otter aerial image count.
Noisy,6,24,2004,0,SWFSC count from MF non-pup aerial survey photo
Nuka Point,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Outer (Pye),6,99,1979,888,"""Calkins & Pitcher, 1982"""
Outer (Pye),6,28,2011,147,NA
Outer (Pye),99,99,1997,106,"""medium-format photo, Pitcher 1998 (contract report)"""
Outer (Pye),7,3,1994,119,"""Strick et al, 1997"""
Outer (Pye),7,2,1989,557,"""Calkins et al, 1994"""
Outer (Pye),6,25,2013,131,NA
Outer (Pye),6,9,2010,82,alittle early to use for annual pup production at this rookery
Outer (Pye),6,9,2010,80,alittle early to use for annual pup production at this rookery
Outer (Pye),7,5,2004,59,"Fadely field notes. Bf 42, kac 42, rt 43. + 17 at other site (bf res book)"
Outer (Pye),7,2,1993,181,NA
Outer (Pye),6,21,1978,431,"""Calkins et al, 1979 Annual Report (est from boat)"""
Outer (Pye),99,99,1986,933,"""993 in Calkins & Goodwin, 1988"""
Outer (Pye),6,26,2009,120,Logs for checkcount
Outer (Pye),6,10,2004,67,SWFSC count from MF non-pup aerial survey photo
Outer (Pye),6,99,1990,363,"""Calkins et al, 1994"""
Outer (Pye),6,21,2005,104,NA
Outer (Pye),6,29,1991,180,"""Merrick et al, 1992"""
Outer (Pye),6,24,1976,500,"""Calkins & Pitcher, 1982 vis est from heli"""
Outer (Pye),6,25,2013,135,NA
Outer (Pye),7,3,2000,108,Towell field book
Outer (Pye),6,26,2009,124,Logs for checkcount
Outer (Pye),7,11,2010,124,NA
Outer (Pye),6,30,2015,150,Otter aerial image count.
Outer (Pye),7,11,2010,120,NA
Outer (Pye),99,99,1984,1034,Calkins & Pitcher?
Outer (Pye),7,5,1998,113,"""Pitcher 1998, contract report"""
Outer (Pye),6,28,2011,143,NA
Outer (Pye),7,6,2002,58,fadely field book
Perl,6,28,2011,1,NA
Perl,7,10,2010,0,NA
Perl,7,10,2010,0,NA
Perl,6,26,2009,0,Logs for checkcount
Perl,6,26,2009,0,Logs for checkcount
Perl,6,30,2015,0,Otter aerial image count.
Perl,6,25,2013,0,NA
Perl,6,10,2004,0,SWFSC count from MF non-pup aerial survey photo
Perl,6,28,2011,0,NA
Perl,6,30,2015,0,Otter aerial image count.
Perl,6,25,2013,0,NA
Perl Rocks,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Puale Bay,7,3,2015,0,Otter aerial image count.
Puale Bay,7,8,2013,0,NA
Puale Bay,7,8,2013,0,NA
Puale Bay,6,11,2004,3,SWFSC count from MF non-pup aerial survey photo
Puale Bay,7,3,2015,0,Otter aerial image count.
Rk Near Sea Otter,6,27,2009,0,Logs for checkcount
Rk Near Sea Otter,6,28,2013,0,NA
Rk Near Sea Otter,6,27,2009,0,Logs for checkcount
Rk Near Sea Otter,6,28,2013,0,NA
Rk Near Sea Otter,6,24,2004,0,SWFSC count from MF non-pup aerial survey photo
Sea Lion Rocks (Marmot),6,28,2013,0,NA
Sea Lion Rocks (Marmot),7,2,2015,0,Otter aerial image count.
Sea Lion Rocks (Marmot),6,28,2013,0,NA
Sea Lion Rocks (Marmot),6,25,2004,0,SWFSC count from MF non-pup aerial survey photo
Sea Lion Rocks (Marmot),7,2,2015,0,Otter aerial image count.
Sea Otter,6,28,2013,0,NA
Sea Otter,7,2,2015,2,Otter aerial image count.
Sea Otter,6,28,2013,0,NA
Sea Otter,6,24,2004,0,SWFSC count from MF non-pup aerial survey photo
Sea Otter,7,2,2015,2,Otter aerial image count.
Sea Otter,7,3,2001,3,"no hardcopy of this count, saw pups while looking for brands"
Shakun Rocks,6,28,2013,4,NA
Shakun Rocks,6,10,2010,2,NA
Shakun Rocks,6,28,2013,4,NA
Shakun Rocks,7,3,2015,7,Otter aerial image count.
Shakun Rocks,6,10,2010,2,NA
Shakun Rocks,6,30,2011,1,NA
Shakun Rocks,6,11,2004,3,SWFSC count from MF non-pup aerial survey photo
Shakun Rocks,7,3,2015,7,Otter aerial image count.
Shakun Rocks,6,30,2011,1,NA
Shaw,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Sitkinak/Cape Sitkinak,7,8,2013,1,NA
Sitkinak/Cape Sitkinak,6,26,2004,0,SWFSC count from MF non-pup aerial survey photo
Sitkinak/Cape Sitkinak,7,8,2013,1,NA
Sitkinak/Cape Sitkinak,6,27,2009,0,Logs for checkcount
Sitkinak/Cape Sitkinak,7,2,2015,1,Otter aerial image count.
Sitkinak/Cape Sitkinak,7,2,2015,1,Otter aerial image count.
Sitkinak/Cape Sitkinak,6,27,2009,0,Logs for checkcount
Sud,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Sugarloaf,6,28,2011,776,6 dead pups
Sugarloaf,99,99,1979,5123,"""Calkins & Pitcher, 1982"""
Sugarloaf,99,99,1971,3500,"""Calkins & Pitcher, 1982 est"""
Sugarloaf,99,99,1968,3000,"""Calkins 1975, ? est"""
Sugarloaf,99,99,1984,3114,"""Calkins 1985, Calkins & Pitcher?"""
Sugarloaf,7,2,2013,860,NA
Sugarloaf,6,99,1990,1638,"""Calkins et al, 1994"""
Sugarloaf,6,10,2010,430,alittle early to use for annual pup production at this rookery
Sugarloaf,99,99,1967,5200,"""Calkins 1975, ? est Vania"""
Sugarloaf,7,4,2001,490,"RT and TRL small data books, 9 dead"
Sugarloaf,99,99,1965,3391,"""Calkins & Pitcher, 1982"""
Sugarloaf,7,2,2013,863,NA
Sugarloaf,7,1,1992,1000,"""1001 in Sease et al, 1993"""
Sugarloaf,99,99,1975,3500,"""Calkins & Pitcher, 1982 est"""
Sugarloaf,7,6,2004,488,"Fadely field notes. Several sites added for rt,kac,jwt plus from res. Min 10 dead."
Sugarloaf,7,3,1997,673,"""Pitcher, 1998 contract report, cnt from periphery"""
Sugarloaf,6,30,2015,898,Otter aerial image count.
Sugarloaf,7,5,1978,5021,"""Calkins et al, 1979 Annual Report"""
Sugarloaf,99,99,1976,3500,"""Calkins & Pitcher, 1982 est"""
Sugarloaf,6,30,2015,907,Otter aerial image count.
Sugarloaf,99,99,1986,3077,"""3107 in Merrick et al, 1987"""
Sugarloaf,6,21,2005,559,NA
Sugarloaf,6,10,2010,419,alittle early to use for annual pup production at this rookery
Sugarloaf,6,26,1994,958,"""Strick et al, 1997"""
Sugarloaf,6,28,2011,758,NA
Sugarloaf,6,27,2009,617,Logs for checkcount
Sugarloaf,7,4,1998,703,"""Pitcher, 1998 contract report"""
Sugarloaf,6,29,1989,2109,"""Calkins et al, 1994"""
Sugarloaf,6,27,2009,609,Logs for checkcount
Sutwik,6,13,2010,11,NA
Sutwik,6,28,2009,12,Logs for checkcount
Sutwik,6,28,2009,11,Logs for checkcount
Sutwik,6,30,2011,24,NA
Sutwik,7,8,2013,19,NA
Sutwik,6,26,2004,2,SWFSC count from MF non-pup aerial survey photo
Sutwik,6,13,2010,11,NA
Sutwik,7,8,2015,37,Otter aerial image count.
Sutwik,7,8,2015,36,Otter aerial image count.
Sutwik,7,8,2013,19,NA
Sutwik,6,30,2011,23,NA
Takli,7,3,2015,0,Otter aerial image count.
Takli,7,3,2015,0,Otter aerial image count.
Takli,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Twoheaded,6,29,2003,20,testa field notes
Twoheaded,6,28,2011,53,NA
Twoheaded,6,27,2009,14,Logs for checkcount
Twoheaded,6,27,2009,13,Logs for checkcount
Twoheaded,6,12,2010,33,NA
Twoheaded,7,8,2013,49,NA
Twoheaded,6,29,2005,1,Gelatt field notes
Twoheaded,7,2,2015,45,Otter aerial image count.
Twoheaded,7,2,2015,45,Otter aerial image count.
Twoheaded,6,23,2005,16,NA
Twoheaded,7,8,2013,48,NA
Twoheaded,6,12,2010,35,NA
Twoheaded,6,26,2004,28,SWFSC count from MF non-pup aerial survey photo
Twoheaded,6,28,2011,52,NA
Ugaiushak,7,8,2015,0,Otter aerial image count.
Ugaiushak,6,26,2004,0,SWFSC count from MF non-pup aerial survey photo
Ugaiushak,7,8,2015,0,Otter aerial image count.
Ugak,6,26,2004,0,SWFSC count from MF non-pup aerial survey photo
Ushagat,6,25,2004,43,SWFSC count from MF non-pup aerial survey photo
Ushagat,6,21,2005,55,NA
Ushagat/Nw,6,30,2015,0,Otter aerial image count.
Ushagat/Nw,6,30,2015,0,Otter aerial image count.
Ushagat/Nw,7,2,2013,0,NA
Ushagat/Nw,7,2,2013,0,NA
Ushagat/Rocks South,7,2,2013,0,NA
Ushagat/Rocks South,6,30,2015,0,Otter aerial image count.
Ushagat/Rocks South,6,25,2004,0,SWFSC count from MF non-pup aerial survey photo
Ushagat/Rocks South,6,27,2009,1,Logs for checkcount
Ushagat/Rocks South,6,27,2009,1,Logs for checkcount
Ushagat/Rocks South,7,2,2013,0,NA
Ushagat/Rocks South,6,30,2015,0,Otter aerial image count.
Ushagat/Sw,6,27,2009,70,Logs for checkcount
Ushagat/Sw,6,30,2015,123,Otter aerial image count.
Ushagat/Sw,6,27,2009,69,Logs for checkcount
Ushagat/Sw,6,10,2010,38,alittle early to use for annual pup production at this rookery
Ushagat/Sw,6,28,2011,84,NA
Ushagat/Sw,6,10,2010,38,alittle early to use for annual pup production at this rookery
Ushagat/Sw,7,2,2013,101,NA
Ushagat/Sw,6,30,2015,128,Otter aerial image count.
Ushagat/Sw,7,2,2013,100,NA
Ushagat/Sw,6,28,2011,84,3 dead pups
West Amatuli,6,11,2004,0,SWFSC count from MF non-pup aerial survey photo
Atkins,6,12,2004,222,SWFSC count from MF non-pup aerial survey photo
Atkins,6,23,2014,310,NA
Atkins,7,9,2013,253,NA
Atkins,7,1,1991,485,"""505 in Merrick et al, 1992"""
Atkins,7,6,1993,419,NA
Atkins,6,29,1998,352,checked to field book
Atkins,7,2,1996,366,checked to field book (7/2 and 7/7/96)
Atkins,6,26,1978,2750,"""Calkins et al, 1979 Annual Report"""
Atkins,99,99,1979,4538,"""Calkins & Pitcher, 1982"""
Atkins,6,23,2005,328,NA
Atkins,6,29,1994,324,"""Strick et al, 1997"""
Atkins,99,99,1984,2093,"""Calkins and Pitcher, ?(adfg 83-84 pinniped invest)"""
Atkins,6,23,2014,320,NA
Atkins,6,30,2004,266,Fadely field notes. 3 areas ground and viewpoint. Min 13 dead.
Atkins,6,28,2009,341,Logs for checkcount
Atkins,6,28,2009,334,Logs for checkcount
Atkins,6,30,2002,224,fadely field book
Atkins,7,9,2013,257,NA
Atkins,99,99,1986,1072,1046 in loughlin field book(6/29)& Merrick 1987
Atkins,6,30,2011,382,NA
Atkins,6,30,2011,377,2 dead pups
Atkins,6,27,2003,128,"thomason resight from, 128, MOST LIKELY A LOW COUNT"
Atkins,6,28,2000,262,Loughlin field book
Atkins,6,28,1990,433,"""435 in Merrick et al, 1991"""
Atkulik,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Big Koniuji,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Bird,7,9,2013,0,NA
Bird,7,9,2013,0,NA
Bird,7,1,2011,2,NA
Bird,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Bird,6,23,2014,4,NA
Bird,7,1,2011,2,NA
Bird,6,23,2014,4,NA
Bird (Shumagins),6,23,2014,0,NEW SITE
Bird (Shumagins),6,23,2014,0,NEW SITE
Castle Rock,7,9,2013,0,NA
Castle Rock,7,9,2013,0,NA
Castle Rock,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Castle Rock,6,23,2014,4,NA
Castle Rock,6,23,2014,4,NA
Caton,7,9,2013,0,NA
Caton,7,1,2011,1,NA
Caton,6,23,2014,1,NA
Caton,7,1,2011,0,NA
Caton,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Caton,6,23,2014,1,NA
Caton,7,9,2013,0,NA
Chankliut,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Chernabura,7,9,2005,153,NA
Chernabura,6,23,2014,271,NA
Chernabura,99,99,1979,646,"""Calkins & Pitcher, 1982"""
Chernabura,99,99,1984,200,"""Calkins and Pitcher, ?(adfg 83-84 pinniped invest)"""
Chernabura,6,30,2011,248,NA
Chernabura,7,14,2009,244,Logs for checkcount
Chernabura,7,14,2009,244,Logs for checkcount
Chernabura,6,29,1994,139,"""Strick et al, 1997"""
Chernabura,6,30,2011,251,1 dead pups
Chernabura,6,27,2003,82,"loughlin field notes, trl - 31+34, js - 29+30 = 62 + wt 20"
Chernabura,7,9,2013,251,NA
Chernabura,7,16,1992,211,"""210 in Sease et al, 1993"""
Chernabura,6,30,2001,92,"June/July 2001 data book (TRL), 2 dead"
Chernabura,6,30,1986,379,checked in loughlin field book & Merrick et 1987
Chernabura,6,29,1998,54,checked to field book
Chernabura,6,23,2014,262,NA
Chernabura,7,9,2013,245,NA
Chernabura,6,12,2004,153,SWFSC count from MF non-pup aerial survey photo
Chernabura,6,26,1978,486,"""Calkins et al, 1979 Annual Report"""
Chernabura,6,28,1990,197,"""193 in Merrick et al, 1991"""
Chernabura,6,27,2005,115,"Gelatt fn - one count 98 + 17 counted from skiff, probably low count"
Cherni,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Clubbing Rocks,6,25,2005,528,NA
Clubbing Rocks,99,99,1984,1394,"""Calkins and Pitcher, ?(adfg 83-84 pinniped invest)"""
Clubbing Rocks,6,12,2004,392,SWFSC count from MF non-pup aerial survey photo
Clubbing Rocks,6,30,1998,448,checked to field book
Clubbing Rocks,7,1,1994,547,"""Strick et al, 1997"""
Clubbing Rocks,99,99,1979,1419,"""Calkins & Pitcher, 1982"""
Clubbing Rocks,6,28,1978,725,"""Calkins et al, 1979 Annual Report (est from heli)"""
Clubbing Rocks,7,15,1992,433,"""Sease et al, 1993"""
Clubbing Rocks North,6,25,2005,192,"Gelatt fn - bd 188, wt 196,"
Clubbing Rocks North,6,30,2011,288,NA
Clubbing Rocks North,6,23,2014,235,NA
Clubbing Rocks North,6,30,2011,277,2 dead pups
Clubbing Rocks North,6,26,2003,194,"loughlin field notes, kc - 194, 197, cj - 198, 187 mean 194, 4 dead"
Clubbing Rocks North,7,9,2013,294,NA
Clubbing Rocks North,6,23,2014,228,NA
Clubbing Rocks North,7,14,2009,247,Logs for checkcount
Clubbing Rocks North,6,29,2001,152,"June/July 2001 data book (TRL), 6 dead"
Clubbing Rocks North,7,9,2013,290,NA
Clubbing Rocks North,7,14,2009,242,Logs for checkcount
Clubbing Rocks South,6,23,2014,491,NA
Clubbing Rocks South,7,9,2013,602,NA
Clubbing Rocks South,7,14,2009,541,Logs for checkcount
Clubbing Rocks South,6,26,2003,372,"loughlin field notes, wt - 379, js - 366 mean 372, 7 dead"
Clubbing Rocks South,7,14,2009,526,Logs for checkcount
Clubbing Rocks South,6,23,2014,483,NA
Clubbing Rocks South,6,25,2005,391,"Gelatt fn - kc 376, jt 406"
Clubbing Rocks South,7,9,2013,600,NA
Clubbing Rocks South,6,30,2011,553,2 dead pups
Clubbing Rocks South,6,29,2001,338,"June/July 2001 data book (TRL), 3 dead"
Clubbing Rocks South,6,30,2011,538,NA
Egg (Sand Point),6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Hague Rock,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Hunt,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Jude,7,9,2013,341,NA
Jude,6,30,2011,295,4 dead pups
Jude,6,29,2002,119,fadely field book
Jude,6,23,2014,300,NA
Jude,6,26,2003,61,"testa field notes, PARTIAL COUNT OF LIVE PUPS"
Jude,7,9,2013,340,NA
Jude,7,14,2009,275,Logs for checkcount
Jude,6,23,2014,309,NA
Jude,6,26,2005,206,"Gelatt fn - tg 218, wt 208, bd 193"
Jude,6,30,2011,306,NA
Jude,6,23,2005,168,NA
Jude,6,12,2004,134,SWFSC count from MF non-pup aerial survey photo
Jude,7,14,2009,265,Logs for checkcount
Jude,6,29,2004,187,"Fadely field notes. Rt 197, dh 182, bf 193. min 2 dead."
Kak,7,8,2015,0,Otter aerial image count.
Kak,7,9,2013,0,NA
Kak,7,9,2013,0,NA
Kak,7,8,2015,0,Otter aerial image count.
Kak,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Kupreanof Point,6,30,2011,0,NA
Kupreanof Point,6,23,2014,0,NA
Kupreanof Point,6,30,2011,0,NA
Kupreanof Point,6,12,2004,0,SWFSC count from MF non-pup aerial survey photo
Kupreanof Point,6,23,2014,0,NA
Lighthouse Rocks,7,14,2009,16,Logs for checkcount
Lighthouse Rocks,7,9,2013,8,NA
Lighthouse Rocks,6,23,2005,11,NA
Lighthouse Rocks,7,8,2015,23,Otter aerial image count.
Lighthouse Rocks,6,12,2004,17,SWFSC count from MF non-pup aerial survey photo
Lighthouse Rocks,6,30,2011,10,NA
Lighthouse Rocks,6,30,2011,8,NA
Lighthouse Rocks,7,14,2009,15,Logs for checkcount
Lighthouse Rocks,99,99,1979,112,"""Calkins & Pitcher, 1982"""
Lighthouse Rocks,6,28,2000,5,Loughlin field book
Lighthouse Rocks,6,29,1978,250,"""Calkins et al, 1979 Annual Report (est from heli)"""
Lighthouse Rocks,7,8,2015,24,Otter aerial image count.
Lighthouse Rocks,6,30,2002,7,fadely field book
Lighthouse Rocks,7,9,2013,8,NA
